Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
AU,*,*,0.5,23.30421923
AU,*,*,1,31.94806154
AU,*,*,1.5,40.61817692
AU,*,*,2,45.39987692
AU,*,*,2.5,50.18157692
AU,*,*,3。56.74984615
AU,*,*,3.5,63.34438846
AU,*,*,4,69.91265769
AU,*,*,4.5,76.48092692
AU,*,*,5,83.04919615
AU,*,*,5.5,88.14617308
AU,*,*,6,93.26942308
AU,*,*,6.5,98.3664
AU,*,*,7,103.48965
AU,*,*,7.5,108.5866269
AU,*,*,8,113.7098769
AU,*,*,8.5,118.8068538
AU,*,*,9,123.9038308
AU,*,*,9.5,129.0270808
AU,*,*,10,134.1240577
AU,*,*,10.5,138.4065692
AU,*,*,11,142.6628077
AU,*,*,11.5,146.9190462
AU,*,*,12,151.2015577
AU,*,*,12.5,155.4577962
AU,*,*,13,159.7140346
AU,*,*,13.5,163.9965462
AU,*,*,14,168.2527846
AU,*,*,14.5,172.5090231
AU,*,*,15,176.7915346
AU,*,*,15.5,181.0477731
AU,*,*,16,185.3040115
AU,*,*,16.5,189.5865231
AU,*,*,17,193.8427615
AU,*,*,17.5,198.099
AU,*,*,18,202.3815115
AU,*,*,18.5,206.63775
AU,*,*,19,210.8939885
AU,*,*,19.5,215.1765
AU,*,*,20,219.4327385
AU,*,*,20.5,223.6889769
AU,*,*,21,227.9612077
AU,*,*,21.5,232.2334385
AU,*,*,22,236.5056692
AU,*,*,22.5,233.8875
AU,*,*,23,239.085
AU,*,*,23.5,244.2825
AU,*,*,24,249.48
AU,*,*,24.5,254.6775
AU,*,*,25,259.875
AU,*,*,25.5,265.0725
AU,*,*,26,270.27
AU,*,*,26.5,275.4675
AU,*,*,27,280.665
AU,*,*,27.5,285.8625
AU,*,*,28,291.06
AU,*,*,28.5,296.2575
AU,*,*,29,301.455
AU,*,*,29.5,306.6525
AU,*,*,30,311.85
AU,*,*,30.5,274.5422308
AU,*,*,31,279.0429231
AU,*,*,31.5,283.5436154
AU,*,*,32,288.0443077
AU,*,*,32.5,292.545
AU,*,*,33,297.0456923
AU,*,*,33.5,301.5463846
AU,*,*,34,306.0470769
AU,*,*,34.5,310.5477692
AU,*,*,35,315.0484615
AU,*,*,35.5,319.5491538
AU,*,*,36,324.0498462
AU,*,*,36.5,328.5505385
AU,*,*,37,333.0512308
AU,*,*,37.5,337.5519231
AU,*,*,38,342.0526154
AU,*,*,38.5,346.5533077
AU,*,*,39,351.054
AU,*,*,39.5,355.5546923
AU,*,*,40,360.0553846
AU,*,*,40.5,364.5560769
AU,*,*,41,369.0567692
AU,*,*,41.5,373.5574615
AU,*,*,42,378.0581538
AU,*,*,42.5,382.5588462
AU,*,*,43,387.0595385
AU,*,*,43.5,391.5602308
AU,*,*,44,396.0609231
AU,*,*,44.5,400.5616154
AU,*,*,45,405.0623077
AU,*,*,45.5,409.563
AU,*,*,46,414.0636923
AU,*,*,46.5,418.5643846
AU,*,*,47,423.0650769
AU,*,*,47.5,427.5657692
AU,*,*,48,432.0664615
AU,*,*,48.5,436.5671538
AU,*,*,49,441.0678462
AU,*,*,49.5,445.5685385
AU,*,*,50,450.0692308
AU,*,*,50.5,454.5699231
AU,*,*,51,459.0706154
AU,*,*,51.5,463.5713077
AU,*,*,52,468.072
AU,*,*,52.5,472.5726923
AU,*,*,53,477.0733846
AU,*,*,53.5,481.5740769
AU,*,*,54,486.0747692
AU,*,*,54.5,490.5754615
AU,*,*,55,495.0761538
AU,*,*,55.5,499.5768462
AU,*,*,56,504.0775385
AU,*,*,56.5,508.5782308
AU,*,*,57,513.0789231
AU,*,*,57.5,517.5796154
AU,*,*,58,522.0803077
AU,*,*,58.5,526.581
AU,*,*,59,531.0816923
AU,*,*,59.5,535.5823846
AU,*,*,60,540.0830769
AU,*,*,60.5,544.5837692
AU,*,*,61,549.0844615
AU,*,*,61.5,553.5851538
AU,*,*,62,558.0858462
AU,*,*,62.5,562.5865385
AU,*,*,63,567.0872308
AU,*,*,63.5,571.5879231
AU,*,*,64,576.0886154
AU,*,*,64.5,580.5893077
AU,*,*,65,585.09
AU,*,*,65.5,589.5906923
AU,*,*,66,594.0913846
AU,*,*,66.5,598.5920769
AU,*,*,67,603.0927692
AU,*,*,67.5,607.5934615
AU,*,*,68,612.0941538
AU,*,*,68.5,616.5948462
AU,*,*,69,621.0955385
AU,*,*,69.5,625.5962308
AU,*,*,70,630.0969231
