Country,Region/State,"Zip/PostAN Code","Weight (and above)","Shipping Price"
AL,*,*,0.1,4.553846154
AL,*,*,0.2,6.723076923
AL,*,*,0.3,8.892307692
AL,*,*,0.4,11.06153846
AL,*,*,0.5,13.23076923
AL,*,*,0.6,15.4
AL,*,*,0.7,17.56923077
AL,*,*,0.8,19.73846154
AL,*,*,0.9,21.90769231
AL,*,*,1,24.07692308
AL,*,*,1.1,26.24615385
AL,*,*,1.2,28.41538462
AL,*,*,1.3,30.58461538
AL,*,*,1.4,32.75384615
AL,*,*,1.5,34.92307692
AL,*,*,1.6,37.09230769
AL,*,*,1.7,39.26153846
AL,*,*,1.8,41.43076923
AL,*,*,1.9,43.6
AL,*,*,2,45.76923077
AL,*,*,2.1,47.93846154
AL,*,*,2.2,50.10769231
AL,*,*,2.3,52.27692308
AL,*,*,2.4,54.44615385
AL,*,*,2.5,56.61538462
AL,*,*,2.6,58.78461538
AL,*,*,2.7,60.95384615
AL,*,*,2.8,63.12307692
AL,*,*,2.9,65.29230769
AL,*,*,3,67.46153846
AL,*,*,3.1,69.63076923
AL,*,*,3.2,71.8
AL,*,*,3.3,73.96923077
AL,*,*,3.4,76.13846154
AL,*,*,3.5,78.30769231
AL,*,*,3.6,80.47692308
AL,*,*,3.7,82.64615385
AL,*,*,3.8,84.81538462
AL,*,*,3.9,86.98461538
AL,*,*,4,89.15384615
AL,*,*,4.1,91.32307692
AL,*,*,4.2,93.49230769
AL,*,*,4.3,95.66153846
AL,*,*,4.4,97.83076923
AL,*,*,4.5,100
AL,*,*,4.6,102.1692308
AL,*,*,4.7,104.3384615
AL,*,*,4.8,106.5076923
AL,*,*,4.9,108.6769231
AL,*,*,5,110.8461538
AL,*,*,0.1,4.553846154
AL,*,*,0.2,6.723076923
AL,*,*,0.3,8.892307692
AL,*,*,0.4,11.06153846
AL,*,*,0.5,13.23076923
AL,*,*,0.6,15.4
AL,*,*,0.7,17.56923077
AL,*,*,0.8,19.73846154
AL,*,*,0.9,21.90769231
AL,*,*,1,24.07692308
AL,*,*,1.1,26.24615385
AL,*,*,1.2,28.41538462
AL,*,*,1.3,30.58461538
AL,*,*,1.4,32.75384615
AL,*,*,1.5,34.92307692
AL,*,*,1.6,37.09230769
AL,*,*,1.7,39.26153846
AL,*,*,1.8,41.43076923
AL,*,*,1.9,43.6
AL,*,*,2,45.76923077
AL,*,*,2.1,47.93846154
AL,*,*,2.2,50.10769231
AL,*,*,2.3,52.27692308
AL,*,*,2.4,54.44615385
AL,*,*,2.5,56.61538462
AL,*,*,2.6,58.78461538
AL,*,*,2.7,60.95384615
AL,*,*,2.8,63.12307692
AL,*,*,2.9,65.29230769
AL,*,*,3,67.46153846
AL,*,*,3.1,69.63076923
AL,*,*,3.2,71.8
AL,*,*,3.3,73.96923077
AL,*,*,3.4,76.13846154
AL,*,*,3.5,78.30769231
AL,*,*,3.6,80.47692308
AL,*,*,3.7,82.64615385
AL,*,*,3.8,84.81538462
AL,*,*,3.9,86.98461538
AL,*,*,4,89.15384615
AL,*,*,4.1,91.32307692
AL,*,*,4.2,93.49230769
AL,*,*,4.3,95.66153846
AL,*,*,4.4,97.83076923
AL,*,*,4.5,100
AL,*,*,4.6,102.1692308
AL,*,*,4.7,104.3384615
AL,*,*,4.8,106.5076923
AL,*,*,4.9,108.6769231
AL,*,*,5,110.8461538
AN,*,*,0.1,4.553846154
AN,*,*,0.2,6.723076923
AN,*,*,0.3,8.892307692
AN,*,*,0.4,11.06153846
AN,*,*,0.5,13.23076923
AN,*,*,0.6,15.4
AN,*,*,0.7,17.56923077
AN,*,*,0.8,19.73846154
AN,*,*,0.9,21.90769231
AN,*,*,1,24.07692308
AN,*,*,1.1,26.24615385
AN,*,*,1.2,28.41538462
AN,*,*,1.3,30.58461538
AN,*,*,1.4,32.75384615
AN,*,*,1.5,34.92307692
AN,*,*,1.6,37.09230769
AN,*,*,1.7,39.26153846
AN,*,*,1.8,41.43076923
AN,*,*,1.9,43.6
AN,*,*,2,45.76923077
AN,*,*,2.1,47.93846154
AN,*,*,2.2,50.10769231
AN,*,*,2.3,52.27692308
AN,*,*,2.4,54.44615385
AN,*,*,2.5,56.61538462
AN,*,*,2.6,58.78461538
AN,*,*,2.7,60.95384615
AN,*,*,2.8,63.12307692
AN,*,*,2.9,65.29230769
AN,*,*,3,67.46153846
AN,*,*,3.1,69.63076923
AN,*,*,3.2,71.8
AN,*,*,3.3,73.96923077
AN,*,*,3.4,76.13846154
AN,*,*,3.5,78.30769231
AN,*,*,3.6,80.47692308
AN,*,*,3.7,82.64615385
AN,*,*,3.8,84.81538462
AN,*,*,3.9,86.98461538
AN,*,*,4,89.15384615
AN,*,*,4.1,91.32307692
AN,*,*,4.2,93.49230769
AN,*,*,4.3,95.66153846
AN,*,*,4.4,97.83076923
AN,*,*,4.5,100
AN,*,*,4.6,102.1692308
AN,*,*,4.7,104.3384615
AN,*,*,4.8,106.5076923
AN,*,*,4.9,108.6769231
AN,*,*,5,110.8461538
AO,*,*,0.1,4.553846154
AO,*,*,0.2,6.723076923
AO,*,*,0.3,8.892307692
AO,*,*,0.4,11.06153846
AO,*,*,0.5,13.23076923
AO,*,*,0.6,15.4
AO,*,*,0.7,17.56923077
AO,*,*,0.8,19.73846154
AO,*,*,0.9,21.90769231
AO,*,*,1,24.07692308
AO,*,*,1.1,26.24615385
AO,*,*,1.2,28.41538462
AO,*,*,1.3,30.58461538
AO,*,*,1.4,32.75384615
AO,*,*,1.5,34.92307692
AO,*,*,1.6,37.09230769
AO,*,*,1.7,39.26153846
AO,*,*,1.8,41.43076923
AO,*,*,1.9,43.6
AO,*,*,2,45.76923077
AO,*,*,2.1,47.93846154
AO,*,*,2.2,50.10769231
AO,*,*,2.3,52.27692308
AO,*,*,2.4,54.44615385
AO,*,*,2.5,56.61538462
AO,*,*,2.6,58.78461538
AO,*,*,2.7,60.95384615
AO,*,*,2.8,63.12307692
AO,*,*,2.9,65.29230769
AO,*,*,3,67.46153846
AO,*,*,3.1,69.63076923
AO,*,*,3.2,71.8
AO,*,*,3.3,73.96923077
AO,*,*,3.4,76.13846154
AO,*,*,3.5,78.30769231
AO,*,*,3.6,80.47692308
AO,*,*,3.7,82.64615385
AO,*,*,3.8,84.81538462
AO,*,*,3.9,86.98461538
AO,*,*,4,89.15384615
AO,*,*,4.1,91.32307692
AO,*,*,4.2,93.49230769
AO,*,*,4.3,95.66153846
AO,*,*,4.4,97.83076923
AO,*,*,4.5,100
AO,*,*,4.6,102.1692308
AO,*,*,4.7,104.3384615
AO,*,*,4.8,106.5076923
AO,*,*,4.9,108.6769231
AO,*,*,5,110.8461538
AR,*,*,0.1,4.553846154
AR,*,*,0.2,6.723076923
AR,*,*,0.3,8.892307692
AR,*,*,0.4,11.06153846
AR,*,*,0.5,13.23076923
AR,*,*,0.6,15.4
AR,*,*,0.7,17.56923077
AR,*,*,0.8,19.73846154
AR,*,*,0.9,21.90769231
AR,*,*,1,24.07692308
AR,*,*,1.1,26.24615385
AR,*,*,1.2,28.41538462
AR,*,*,1.3,30.58461538
AR,*,*,1.4,32.75384615
AR,*,*,1.5,34.92307692
AR,*,*,1.6,37.09230769
AR,*,*,1.7,39.26153846
AR,*,*,1.8,41.43076923
AR,*,*,1.9,43.6
AR,*,*,2,45.76923077
AR,*,*,2.1,47.93846154
AR,*,*,2.2,50.10769231
AR,*,*,2.3,52.27692308
AR,*,*,2.4,54.44615385
AR,*,*,2.5,56.61538462
AR,*,*,2.6,58.78461538
AR,*,*,2.7,60.95384615
AR,*,*,2.8,63.12307692
AR,*,*,2.9,65.29230769
AR,*,*,3,67.46153846
AR,*,*,3.1,69.63076923
AR,*,*,3.2,71.8
AR,*,*,3.3,73.96923077
AR,*,*,3.4,76.13846154
AR,*,*,3.5,78.30769231
AR,*,*,3.6,80.47692308
AR,*,*,3.7,82.64615385
AR,*,*,3.8,84.81538462
AR,*,*,3.9,86.98461538
AR,*,*,4,89.15384615
AR,*,*,4.1,91.32307692
AR,*,*,4.2,93.49230769
AR,*,*,4.3,95.66153846
AR,*,*,4.4,97.83076923
AR,*,*,4.5,100
AR,*,*,4.6,102.1692308
AR,*,*,4.7,104.3384615
AR,*,*,4.8,106.5076923
AR,*,*,4.9,108.6769231
AR,*,*,5,110.8461538
BA,*,*,0.1,4.553846154
BA,*,*,0.2,6.723076923
BA,*,*,0.3,8.892307692
BA,*,*,0.4,11.06153846
BA,*,*,0.5,13.23076923
BA,*,*,0.6,15.4
BA,*,*,0.7,17.56923077
BA,*,*,0.8,19.73846154
BA,*,*,0.9,21.90769231
BA,*,*,1,24.07692308
BA,*,*,1.1,26.24615385
BA,*,*,1.2,28.41538462
BA,*,*,1.3,30.58461538
BA,*,*,1.4,32.75384615
BA,*,*,1.5,34.92307692
BA,*,*,1.6,37.09230769
BA,*,*,1.7,39.26153846
BA,*,*,1.8,41.43076923
BA,*,*,1.9,43.6
BA,*,*,2,45.76923077
BA,*,*,2.1,47.93846154
BA,*,*,2.2,50.10769231
BA,*,*,2.3,52.27692308
BA,*,*,2.4,54.44615385
BA,*,*,2.5,56.61538462
BA,*,*,2.6,58.78461538
BA,*,*,2.7,60.95384615
BA,*,*,2.8,63.12307692
BA,*,*,2.9,65.29230769
BA,*,*,3,67.46153846
BA,*,*,3.1,69.63076923
BA,*,*,3.2,71.8
BA,*,*,3.3,73.96923077
BA,*,*,3.4,76.13846154
BA,*,*,3.5,78.30769231
BA,*,*,3.6,80.47692308
BA,*,*,3.7,82.64615385
BA,*,*,3.8,84.81538462
BA,*,*,3.9,86.98461538
BA,*,*,4,89.15384615
BA,*,*,4.1,91.32307692
BA,*,*,4.2,93.49230769
BA,*,*,4.3,95.66153846
BA,*,*,4.4,97.83076923
BA,*,*,4.5,100
BA,*,*,4.6,102.1692308
BA,*,*,4.7,104.3384615
BA,*,*,4.8,106.5076923
BA,*,*,4.9,108.6769231
BA,*,*,5,110.8461538
BF,*,*,0.1,4.553846154
BF,*,*,0.2,6.723076923
BF,*,*,0.3,8.892307692
BF,*,*,0.4,11.06153846
BF,*,*,0.5,13.23076923
BF,*,*,0.6,15.4
BF,*,*,0.7,17.56923077
BF,*,*,0.8,19.73846154
BF,*,*,0.9,21.90769231
BF,*,*,1,24.07692308
BF,*,*,1.1,26.24615385
BF,*,*,1.2,28.41538462
BF,*,*,1.3,30.58461538
BF,*,*,1.4,32.75384615
BF,*,*,1.5,34.92307692
BF,*,*,1.6,37.09230769
BF,*,*,1.7,39.26153846
BF,*,*,1.8,41.43076923
BF,*,*,1.9,43.6
BF,*,*,2,45.76923077
BF,*,*,2.1,47.93846154
BF,*,*,2.2,50.10769231
BF,*,*,2.3,52.27692308
BF,*,*,2.4,54.44615385
BF,*,*,2.5,56.61538462
BF,*,*,2.6,58.78461538
BF,*,*,2.7,60.95384615
BF,*,*,2.8,63.12307692
BF,*,*,2.9,65.29230769
BF,*,*,3,67.46153846
BF,*,*,3.1,69.63076923
BF,*,*,3.2,71.8
BF,*,*,3.3,73.96923077
BF,*,*,3.4,76.13846154
BF,*,*,3.5,78.30769231
BF,*,*,3.6,80.47692308
BF,*,*,3.7,82.64615385
BF,*,*,3.8,84.81538462
BF,*,*,3.9,86.98461538
BF,*,*,4,89.15384615
BF,*,*,4.1,91.32307692
BF,*,*,4.2,93.49230769
BF,*,*,4.3,95.66153846
BF,*,*,4.4,97.83076923
BF,*,*,4.5,100
BF,*,*,4.6,102.1692308
BF,*,*,4.7,104.3384615
BF,*,*,4.8,106.5076923
BF,*,*,4.9,108.6769231
BF,*,*,5,110.8461538
BG,*,*,0.1,4.553846154
BG,*,*,0.2,6.723076923
BG,*,*,0.3,8.892307692
BG,*,*,0.4,11.06153846
BG,*,*,0.5,13.23076923
BG,*,*,0.6,15.4
BG,*,*,0.7,17.56923077
BG,*,*,0.8,19.73846154
BG,*,*,0.9,21.90769231
BG,*,*,1,24.07692308
BG,*,*,1.1,26.24615385
BG,*,*,1.2,28.41538462
BG,*,*,1.3,30.58461538
BG,*,*,1.4,32.75384615
BG,*,*,1.5,34.92307692
BG,*,*,1.6,37.09230769
BG,*,*,1.7,39.26153846
BG,*,*,1.8,41.43076923
BG,*,*,1.9,43.6
BG,*,*,2,45.76923077
BG,*,*,2.1,47.93846154
BG,*,*,2.2,50.10769231
BG,*,*,2.3,52.27692308
BG,*,*,2.4,54.44615385
BG,*,*,2.5,56.61538462
BG,*,*,2.6,58.78461538
BG,*,*,2.7,60.95384615
BG,*,*,2.8,63.12307692
BG,*,*,2.9,65.29230769
BG,*,*,3,67.46153846
BG,*,*,3.1,69.63076923
BG,*,*,3.2,71.8
BG,*,*,3.3,73.96923077
BG,*,*,3.4,76.13846154
BG,*,*,3.5,78.30769231
BG,*,*,3.6,80.47692308
BG,*,*,3.7,82.64615385
BG,*,*,3.8,84.81538462
BG,*,*,3.9,86.98461538
BG,*,*,4,89.15384615
BG,*,*,4.1,91.32307692
BG,*,*,4.2,93.49230769
BG,*,*,4.3,95.66153846
BG,*,*,4.4,97.83076923
BG,*,*,4.5,100
BG,*,*,4.6,102.1692308
BG,*,*,4.7,104.3384615
BG,*,*,4.8,106.5076923
BG,*,*,4.9,108.6769231
BG,*,*,5,110.8461538
BI,*,*,0.1,4.553846154
BI,*,*,0.2,6.723076923
BI,*,*,0.3,8.892307692
BI,*,*,0.4,11.06153846
BI,*,*,0.5,13.23076923
BI,*,*,0.6,15.4
BI,*,*,0.7,17.56923077
BI,*,*,0.8,19.73846154
BI,*,*,0.9,21.90769231
BI,*,*,1,24.07692308
BI,*,*,1.1,26.24615385
BI,*,*,1.2,28.41538462
BI,*,*,1.3,30.58461538
BI,*,*,1.4,32.75384615
BI,*,*,1.5,34.92307692
BI,*,*,1.6,37.09230769
BI,*,*,1.7,39.26153846
BI,*,*,1.8,41.43076923
BI,*,*,1.9,43.6
BI,*,*,2,45.76923077
BI,*,*,2.1,47.93846154
BI,*,*,2.2,50.10769231
BI,*,*,2.3,52.27692308
BI,*,*,2.4,54.44615385
BI,*,*,2.5,56.61538462
BI,*,*,2.6,58.78461538
BI,*,*,2.7,60.95384615
BI,*,*,2.8,63.12307692
BI,*,*,2.9,65.29230769
BI,*,*,3,67.46153846
BI,*,*,3.1,69.63076923
BI,*,*,3.2,71.8
BI,*,*,3.3,73.96923077
BI,*,*,3.4,76.13846154
BI,*,*,3.5,78.30769231
BI,*,*,3.6,80.47692308
BI,*,*,3.7,82.64615385
BI,*,*,3.8,84.81538462
BI,*,*,3.9,86.98461538
BI,*,*,4,89.15384615
BI,*,*,4.1,91.32307692
BI,*,*,4.2,93.49230769
BI,*,*,4.3,95.66153846
BI,*,*,4.4,97.83076923
BI,*,*,4.5,100
BI,*,*,4.6,102.1692308
BI,*,*,4.7,104.3384615
BI,*,*,4.8,106.5076923
BI,*,*,4.9,108.6769231
BI,*,*,5,110.8461538
BJ,*,*,0.1,4.553846154
BJ,*,*,0.2,6.723076923
BJ,*,*,0.3,8.892307692
BJ,*,*,0.4,11.06153846
BJ,*,*,0.5,13.23076923
BJ,*,*,0.6,15.4
BJ,*,*,0.7,17.56923077
BJ,*,*,0.8,19.73846154
BJ,*,*,0.9,21.90769231
BJ,*,*,1,24.07692308
BJ,*,*,1.1,26.24615385
BJ,*,*,1.2,28.41538462
BJ,*,*,1.3,30.58461538
BJ,*,*,1.4,32.75384615
BJ,*,*,1.5,34.92307692
BJ,*,*,1.6,37.09230769
BJ,*,*,1.7,39.26153846
BJ,*,*,1.8,41.43076923
BJ,*,*,1.9,43.6
BJ,*,*,2,45.76923077
BJ,*,*,2.1,47.93846154
BJ,*,*,2.2,50.10769231
BJ,*,*,2.3,52.27692308
BJ,*,*,2.4,54.44615385
BJ,*,*,2.5,56.61538462
BJ,*,*,2.6,58.78461538
BJ,*,*,2.7,60.95384615
BJ,*,*,2.8,63.12307692
BJ,*,*,2.9,65.29230769
BJ,*,*,3,67.46153846
BJ,*,*,3.1,69.63076923
BJ,*,*,3.2,71.8
BJ,*,*,3.3,73.96923077
BJ,*,*,3.4,76.13846154
BJ,*,*,3.5,78.30769231
BJ,*,*,3.6,80.47692308
BJ,*,*,3.7,82.64615385
BJ,*,*,3.8,84.81538462
BJ,*,*,3.9,86.98461538
BJ,*,*,4,89.15384615
BJ,*,*,4.1,91.32307692
BJ,*,*,4.2,93.49230769
BJ,*,*,4.3,95.66153846
BJ,*,*,4.4,97.83076923
BJ,*,*,4.5,100
BJ,*,*,4.6,102.1692308
BJ,*,*,4.7,104.3384615
BJ,*,*,4.8,106.5076923
BJ,*,*,4.9,108.6769231
BJ,*,*,5,110.8461538
BO,*,*,0.1,4.553846154
BO,*,*,0.2,6.723076923
BO,*,*,0.3,8.892307692
BO,*,*,0.4,11.06153846
BO,*,*,0.5,13.23076923
BO,*,*,0.6,15.4
BO,*,*,0.7,17.56923077
BO,*,*,0.8,19.73846154
BO,*,*,0.9,21.90769231
BO,*,*,1,24.07692308
BO,*,*,1.1,26.24615385
BO,*,*,1.2,28.41538462
BO,*,*,1.3,30.58461538
BO,*,*,1.4,32.75384615
BO,*,*,1.5,34.92307692
BO,*,*,1.6,37.09230769
BO,*,*,1.7,39.26153846
BO,*,*,1.8,41.43076923
BO,*,*,1.9,43.6
BO,*,*,2,45.76923077
BO,*,*,2.1,47.93846154
BO,*,*,2.2,50.10769231
BO,*,*,2.3,52.27692308
BO,*,*,2.4,54.44615385
BO,*,*,2.5,56.61538462
BO,*,*,2.6,58.78461538
BO,*,*,2.7,60.95384615
BO,*,*,2.8,63.12307692
BO,*,*,2.9,65.29230769
BO,*,*,3,67.46153846
BO,*,*,3.1,69.63076923
BO,*,*,3.2,71.8
BO,*,*,3.3,73.96923077
BO,*,*,3.4,76.13846154
BO,*,*,3.5,78.30769231
BO,*,*,3.6,80.47692308
BO,*,*,3.7,82.64615385
BO,*,*,3.8,84.81538462
BO,*,*,3.9,86.98461538
BO,*,*,4,89.15384615
BO,*,*,4.1,91.32307692
BO,*,*,4.2,93.49230769
BO,*,*,4.3,95.66153846
BO,*,*,4.4,97.83076923
BO,*,*,4.5,100
BO,*,*,4.6,102.1692308
BO,*,*,4.7,104.3384615
BO,*,*,4.8,106.5076923
BO,*,*,4.9,108.6769231
BO,*,*,5,110.8461538
BR,*,*,0.1,4.553846154
BR,*,*,0.2,6.723076923
BR,*,*,0.3,8.892307692
BR,*,*,0.4,11.06153846
BR,*,*,0.5,13.23076923
BR,*,*,0.6,15.4
BR,*,*,0.7,17.56923077
BR,*,*,0.8,19.73846154
BR,*,*,0.9,21.90769231
BR,*,*,1,24.07692308
BR,*,*,1.1,26.24615385
BR,*,*,1.2,28.41538462
BR,*,*,1.3,30.58461538
BR,*,*,1.4,32.75384615
BR,*,*,1.5,34.92307692
BR,*,*,1.6,37.09230769
BR,*,*,1.7,39.26153846
BR,*,*,1.8,41.43076923
BR,*,*,1.9,43.6
BR,*,*,2,45.76923077
BR,*,*,2.1,47.93846154
BR,*,*,2.2,50.10769231
BR,*,*,2.3,52.27692308
BR,*,*,2.4,54.44615385
BR,*,*,2.5,56.61538462
BR,*,*,2.6,58.78461538
BR,*,*,2.7,60.95384615
BR,*,*,2.8,63.12307692
BR,*,*,2.9,65.29230769
BR,*,*,3,67.46153846
BR,*,*,3.1,69.63076923
BR,*,*,3.2,71.8
BR,*,*,3.3,73.96923077
BR,*,*,3.4,76.13846154
BR,*,*,3.5,78.30769231
BR,*,*,3.6,80.47692308
BR,*,*,3.7,82.64615385
BR,*,*,3.8,84.81538462
BR,*,*,3.9,86.98461538
BR,*,*,4,89.15384615
BR,*,*,4.1,91.32307692
BR,*,*,4.2,93.49230769
BR,*,*,4.3,95.66153846
BR,*,*,4.4,97.83076923
BR,*,*,4.5,100
BR,*,*,4.6,102.1692308
BR,*,*,4.7,104.3384615
BR,*,*,4.8,106.5076923
BR,*,*,4.9,108.6769231
BR,*,*,5,110.8461538
BW,*,*,0.1,4.553846154
BW,*,*,0.2,6.723076923
BW,*,*,0.3,8.892307692
BW,*,*,0.4,11.06153846
BW,*,*,0.5,13.23076923
BW,*,*,0.6,15.4
BW,*,*,0.7,17.56923077
BW,*,*,0.8,19.73846154
BW,*,*,0.9,21.90769231
BW,*,*,1,24.07692308
BW,*,*,1.1,26.24615385
BW,*,*,1.2,28.41538462
BW,*,*,1.3,30.58461538
BW,*,*,1.4,32.75384615
BW,*,*,1.5,34.92307692
BW,*,*,1.6,37.09230769
BW,*,*,1.7,39.26153846
BW,*,*,1.8,41.43076923
BW,*,*,1.9,43.6
BW,*,*,2,45.76923077
BW,*,*,2.1,47.93846154
BW,*,*,2.2,50.10769231
BW,*,*,2.3,52.27692308
BW,*,*,2.4,54.44615385
BW,*,*,2.5,56.61538462
BW,*,*,2.6,58.78461538
BW,*,*,2.7,60.95384615
BW,*,*,2.8,63.12307692
BW,*,*,2.9,65.29230769
BW,*,*,3,67.46153846
BW,*,*,3.1,69.63076923
BW,*,*,3.2,71.8
BW,*,*,3.3,73.96923077
BW,*,*,3.4,76.13846154
BW,*,*,3.5,78.30769231
BW,*,*,3.6,80.47692308
BW,*,*,3.7,82.64615385
BW,*,*,3.8,84.81538462
BW,*,*,3.9,86.98461538
BW,*,*,4,89.15384615
BW,*,*,4.1,91.32307692
BW,*,*,4.2,93.49230769
BW,*,*,4.3,95.66153846
BW,*,*,4.4,97.83076923
BW,*,*,4.5,100
BW,*,*,4.6,102.1692308
BW,*,*,4.7,104.3384615
BW,*,*,4.8,106.5076923
BW,*,*,4.9,108.6769231
BW,*,*,5,110.8461538
BY,*,*,0.1,4.553846154
BY,*,*,0.2,6.723076923
BY,*,*,0.3,8.892307692
BY,*,*,0.4,11.06153846
BY,*,*,0.5,13.23076923
BY,*,*,0.6,15.4
BY,*,*,0.7,17.56923077
BY,*,*,0.8,19.73846154
BY,*,*,0.9,21.90769231
BY,*,*,1,24.07692308
BY,*,*,1.1,26.24615385
BY,*,*,1.2,28.41538462
BY,*,*,1.3,30.58461538
BY,*,*,1.4,32.75384615
BY,*,*,1.5,34.92307692
BY,*,*,1.6,37.09230769
BY,*,*,1.7,39.26153846
BY,*,*,1.8,41.43076923
BY,*,*,1.9,43.6
BY,*,*,2,45.76923077
BY,*,*,2.1,47.93846154
BY,*,*,2.2,50.10769231
BY,*,*,2.3,52.27692308
BY,*,*,2.4,54.44615385
BY,*,*,2.5,56.61538462
BY,*,*,2.6,58.78461538
BY,*,*,2.7,60.95384615
BY,*,*,2.8,63.12307692
BY,*,*,2.9,65.29230769
BY,*,*,3,67.46153846
BY,*,*,3.1,69.63076923
BY,*,*,3.2,71.8
BY,*,*,3.3,73.96923077
BY,*,*,3.4,76.13846154
BY,*,*,3.5,78.30769231
BY,*,*,3.6,80.47692308
BY,*,*,3.7,82.64615385
BY,*,*,3.8,84.81538462
BY,*,*,3.9,86.98461538
BY,*,*,4,89.15384615
BY,*,*,4.1,91.32307692
BY,*,*,4.2,93.49230769
BY,*,*,4.3,95.66153846
BY,*,*,4.4,97.83076923
BY,*,*,4.5,100
BY,*,*,4.6,102.1692308
BY,*,*,4.7,104.3384615
BY,*,*,4.8,106.5076923
BY,*,*,4.9,108.6769231
BY,*,*,5,110.8461538
CD,*,*,0.1,4.553846154
CD,*,*,0.2,6.723076923
CD,*,*,0.3,8.892307692
CD,*,*,0.4,11.06153846
CD,*,*,0.5,13.23076923
CD,*,*,0.6,15.4
CD,*,*,0.7,17.56923077
CD,*,*,0.8,19.73846154
CD,*,*,0.9,21.90769231
CD,*,*,1,24.07692308
CD,*,*,1.1,26.24615385
CD,*,*,1.2,28.41538462
CD,*,*,1.3,30.58461538
CD,*,*,1.4,32.75384615
CD,*,*,1.5,34.92307692
CD,*,*,1.6,37.09230769
CD,*,*,1.7,39.26153846
CD,*,*,1.8,41.43076923
CD,*,*,1.9,43.6
CD,*,*,2,45.76923077
CD,*,*,2.1,47.93846154
CD,*,*,2.2,50.10769231
CD,*,*,2.3,52.27692308
CD,*,*,2.4,54.44615385
